Rank,Title,Year,Runtime,Rating,Votes,Revenue,Metascore
906,Avengers: Age of Ultron,2015,141,7.4,516895,458.99,66
905,The Nice Guys,2016,116,7.4,175067,36.25,70
904,Kimi no na wa,2016,106,8.6,34110,4.68,79
903,The Void,2016,90,5.8,9247,0.15,62
902,Personal Shopper,2016,105,6.3,10181,1.29,77
901,The Departed,2006,151,8.5,937414,132.37,85
900,Legend,2015,132,7,108836,1.87,55
899,Thor,2011,115,7,570814,181.02,57
898,The Martian,2015,144,8,556097,228.43,80
897,Contratiempo,2016,106,7.9,7204,,
896,The Man from U.N.C.L.E.,2015,116,7.3,202973,45.43,56
895,Hell or High Water,2016,102,7.7,115546,26.86,88
894,The Comedian,2016,120,5.4,1954,1.66,40
893,The Legend of Tarzan,2016,110,6.3,117590,126.59,44
892,All We Had,2016,105,5.8,1004,,48
891,Ex Machina,2014,108,7.7,339797,25.44,78
890,The Belko Experiment,2016,89,6.3,3712,10.16,44
889,12 Years a Slave,2013,134,8.1,486338,56.67,96
888,The Bad Batch,2016,118,6.1,512,,65
887,300,2006,117,7.7,637104,210.59,52
886,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,590595,380.96,87
885,Office Christmas Party,2016,105,5.8,30761,54.73,42
884,The Neon Demon,2016,118,6.2,50359,1.33,51
883,Dangal,2016,161,8.8,48969,11.15,
882,10 Cloverfield Lane,2016,104,7.2,192968,71.9,76
881,Finding Dory,2016,97,7.4,157026,486.29,77
880,Miss Peregrine's Home for Peculiar Children,2016,127,6.7,101058,87.24,57
879,Divergent,2014,139,6.7,362093,150.83,48
878,Mike and Dave Need Wedding Dates,2016,98,6,53183,46.01,51
877,Boyka: Undisputed IV,2016,86,7.4,10428,,
876,The Dark Knight Rises,2012,164,8.5,1222645,448.13,78
875,The Jungle Book,2016,106,7.5,198243,364,77
874,Transformers: Age of Extinction,2014,165,5.7,255483,245.43,32
873,Nerve,2016,96,6.6,69651,38.56,58
872,Mamma Mia!,2008,108,6.4,153481,143.7,51
871,The Revenant,2015,156,8,499424,183.64,76
870,Fences,2016,139,7.3,50953,57.64,79
869,Into the Woods,2014,125,6,109756,128,69
868,The Shallows,2016,86,6.4,78328,55.12,59
867,Whiplash,2014,107,8.5,477276,13.09,88
866,Furious 6,2013,130,7.1,318051,238.67,61
865,The Place Beyond the Pines,2012,140,7.3,200090,21.38,68
864,No Country for Old Men,2007,122,8.1,660286,74.27,91
863,The Great Gatsby,2013,143,7.3,386102,144.81,55
862,Shutter Island,2010,138,8.1,855604,127.97,63
861,Brimstone,2016,148,7.1,13004,,44
860,Star Trek,2009,127,8,526324,257.7,82
859,Diary of a Wimpy Kid,2010,94,6.2,34184,64,56
858,The Big Short,2015,130,7.8,246360,70.24,81
857,Room,2015,118,8.2,224132,14.68,86
856,Django Unchained,2012,165,8.4,1039115,162.8,81
855,Ah-ga-ssi,2016,144,8.1,33418,2.01,84
854,The Edge of Seventeen,2016,104,7.4,47694,14.26,77
853,Watchmen,2009,162,7.6,410249,107.5,56
852,Superbad,2007,113,7.6,442082,121.46,76
851,Inferno,2016,121,6.2,97623,34.26,42
850,The BFG,2016,117,6.4,50853,55.47,66
849,The Hunger Games,2012,142,7.2,735604,408,68
848,White Girl,2016,88,5.8,4299,0.2,65
847,Sicario,2015,121,7.6,243230,46.88,82
846,Twin Peaks: The Missing Pieces,2014,91,8.1,1973,,
845,Aliens vs Predator - Requiem,2007,94,4.7,97618,41.8,29
844,Pacific Rim,2013,131,7,400519,101.79,64
843,"Crazy, Stupid, Love.",2011,118,7.4,396714,84.24,68
842,Scott Pilgrim vs. the World,2010,112,7.5,291457,31.49,69
841,Hot Fuzz,2007,121,7.9,373244,23.62,81
840,Mine,2016,106,6,5926,,40
839,Free Fire,2016,90,7,6946,1.8,63
838,X-Men: Days of Future Past,2014,132,8,552298,233.91,74
837,Jack Reacher: Never Go Back,2016,118,6.1,78043,58.4,47
836,Casino Royale,2006,144,8,495106,167.01,80
835,Twilight,2008,122,5.2,361449,191.45,56
834,Now You See Me 2,2016,129,6.5,156567,65.03,46
833,Woman in Gold,2015,109,7.3,39723,33.31,51
832,13 Hours,2016,144,7.3,76935,52.82,48
831,Spectre,2015,148,6.8,308981,200.07,60
830,Nightcrawler,2014,118,7.9,332476,32.28,76
829,Kubo and the Two Strings,2016,101,7.9,72778,48.02,84
828,Beyond the Gates,2016,84,5.2,2127,,59
827,Her,2013,126,8,390531,25.56,90
826,Frozen,2013,102,7.5,451894,400.74,74
825,Tomorrowland,2015,130,6.5,143069,93.42,60
824,Dawn of the Planet of the Apes,2014,130,7.6,337777,208.54,79
823,Tropic Thunder,2008,107,7,321442,110.42,71
822,The Conjuring 2,2016,134,7.4,137203,102.46,65
821,Ant-Man,2015,117,7.3,368912,180.19,64
820,Bridget Jones's Baby,2016,118,6.7,43086,24.09,59
819,The VVitch: A New-England Folktale,2015,92,6.8,101781,25.14,83
818,Cinderella,2015,105,7,117018,201.15,67
817,Realive,2016,112,5.9,1176,,
816,Forushande,2016,124,8,22389,3.4,85
815,Love,2015,135,6,24003,,51
814,Billy Lynn's Long Halftime Walk,2016,113,6.3,11944,1.72,53
813,Crimson Peak,2015,119,6.6,97454,31.06,66
812,Drive,2011,100,7.8,461509,35.05,78
811,Trainwreck,2015,125,6.3,106364,110.01,75
810,The Light Between Oceans,2016,133,7.2,27382,12.53,60
809,Below Her Mouth,2016,94,5.6,1445,,42
808,Spotlight,2015,128,8.1,268282,44.99,93
807,Morgan,2016,92,5.8,22107,3.91,48
806,Warrior,2011,140,8.2,355722,13.65,71
805,Captain America: The First Avenger,2011,124,6.9,547368,176.64,66
804,Hacker,2016,95,6.3,3799,,
803,Into the Wild,2007,148,8.1,459304,18.35,73
802,The Imitation Game,2014,114,8.1,532353,91.12,73
801,Central Intelligence,2016,107,6.3,97082,127.38,52
800,Edge of Tomorrow,2014,113,7.9,471815,100.19,71
799,A Cure for Wellness,2016,146,6.5,12193,8.1,47
798,Snowden,2016,134,7.3,79855,21.48,58
797,Iron Man,2008,126,7.9,737719,318.3,79
796,Allegiant,2016,120,5.7,70504,66,33
795,X: First Class,2011,132,7.8,550011,146.41,65
794,Raw (II),2016,99,7.5,5435,0.51,81
793,Paterson,2016,118,7.5,26089,2.14,90
792,Bridesmaids,2011,125,6.8,227912,169.08,75
791,The Girl with All the Gifts,2016,111,6.7,23713,,67
790,San Andreas,2015,114,6.1,161396,155.18,43
789,Spring Breakers,2012,94,5.3,114290,14.12,63
788,Transformers,2007,144,7.1,531112,318.76,61
787,Old Boy,2013,104,5.8,54679,,49
786,Thor: The Dark World,2013,112,7,443584,206.36,54
785,Gods of Egypt,2016,126,5.5,73568,31.14,25
784,Captain America: The Winter Soldier,2014,136,7.8,542362,259.75,70
783,Monster Trucks,2016,104,5.7,7044,33.04,41
782,A Dark Song,2016,100,6.1,1703,,67
781,Kick-Ass,2010,117,7.7,456749,48.04,66
780,Hardcore Henry,2015,96,6.7,61098,9.24,51
779,Cars,2006,117,7.1,283445,244.05,73
778,It Follows,2014,100,6.9,136399,14.67,83
777,The Girl with the Dragon Tattoo,2011,158,7.8,348551,102.52,71
776,We're the Millers,2013,110,7,334867,150.37,44
775,American Honey,2016,163,7,19660,0.66,79
774,The Lobster,2015,119,7.1,121313,8.7,82
773,Predators,2010,107,6.4,179450,52,51
772,Maleficent,2014,97,7,268877,241.41,56
771,Rupture,2016,102,4.8,2382,,35
770,Pan's Labyrinth,2006,118,8.2,498879,37.62,98
769,A Kind of Murder,2016,95,5.2,3305,0,50
768,Apocalypto,2006,139,7.8,247926,50.86,68
767,Mission: Impossible - Rogue Nation,2015,131,7.4,257472,195,75
766,The Huntsman: Winter's War,2016,114,6.1,66766,47.95,35
765,The Perks of Being a Wallflower,2012,102,8,377336,17.74,67
764,Jackie,2016,100,6.8,41446,13.96,81
763,The Disappointments Room,2016,85,3.9,4895,2.41,31
762,The Grand Budapest Hotel,2014,99,8.1,530881,59.07,88
761,The Host,2013,125,5.9,96852,26.62,35
760,Fury,2014,134,7.6,332234,85.71,64
759,Inside Out,2015,95,8.2,416689,356.45,94
758,Rock Dog,2016,90,5.8,1109,9.4,48
757,Terminator Genisys,2015,126,6.5,205365,89.73,38
756,Percy Jackson & the Olympians: The Lightning Thief,2010,118,5.9,148949,88.76,47
755,Les Misérables,2012,158,7.6,257426,148.78,63
754,Children of Men,2006,109,7.9,382910,35.29,84
753,20th Century Women,2016,119,7.4,14708,5.66,83
752,Spy,2015,119,7.1,188017,110.82,75
751,The Intouchables,2011,112,8.6,557965,13.18,57
750,Bonjour Anne,2016,92,4.9,178,0.32,50
749,Kynodontas,2009,94,7.3,50946,0.11,73
748,Straight Outta Compton,2015,147,7.9,139831,161.03,72
747,The Amazing Spider-Man 2,2014,142,6.7,342183,202.85,53
746,The Conjuring,2013,112,7.5,330305,137.39,68
745,The Hangover,2009,100,7.8,611563,277.31,73
744,Battleship,2012,131,5.8,210349,65.17,41
743,Rise of the Planet of the Apes,2011,105,7.6,422290,176.74,68
742,Lights Out,2016,81,6.4,69823,67.24,58
741,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,118,7.1,664,2.27,76
740,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.8,440299,42.34,88
739,Black Swan,2010,108,8,581518,106.95,79
738,Dear White People,2014,108,6.2,21715,4.4,79
737,Nymphomaniac: Vol. I,2013,117,7,90556,0.79,64
736,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112,6,59312,0.54,40
735,Knock Knock,2015,99,4.9,53441,0.03,53
734,Dirty Grandpa,2016,102,6,75137,35.54,18
733,Cloud Atlas,2012,172,7.5,298651,27.1,55
732,X-Men Origins: Wolverine,2009,107,6.7,388447,179.88,40
731,Satanic,2016,85,3.7,2384,,
730,Skyfall,2012,143,7.8,547386,304.36,81
729,The Hobbit: An Unexpected Journey,2012,169,7.9,668651,303,58
728,21 Jump Street,2012,110,7.2,432046,138.45,69
727,Sing Street,2016,106,8,52144,3.23,79
726,Ballerina,2016,89,6.8,4729,,
725,Oblivion,2013,124,7,410125,89.02,54
724,22 Jump Street,2014,112,7.1,280110,191.62,71
723,Zodiac,2007,157,7.7,329683,33.05,78
722,Everybody Wants Some!!,2016,117,7,36312,3.37,83
721,Iron Man Three,2013,130,7.2,591023,408.99,62
720,Now You See Me,2013,115,7.3,492324,117.7,50
719,Sherlock Holmes,2009,128,7.6,501769,209.02,57
718,Death Proof,2007,113,7.1,220236,,
717,The Danish Girl,2015,119,7,110773,12.71,66
716,Hercules,2014,98,6,122838,72.66,47
715,Sucker Punch,2011,110,6.1,204874,36.38,33
714,Keeping Up with the Joneses,2016,105,5.8,30405,14.9,34
713,Jupiter Ascending,2015,127,5.3,150121,47.38,40
712,Masterminds,2016,95,5.8,26508,17.36,47
711,Iris,2016,99,6.1,726,,
710,Busanhaeng,2016,118,7.5,58782,2.13,72
709,Pitch Perfect,2012,112,7.2,226631,65,66
708,Neighbors 2: Sorority Rising,2016,92,5.7,76327,55.29,58
707,The Exception,2016,107,7.7,96,,
706,Man of Steel,2013,143,7.1,577010,291.02,55
705,The Choice,2016,111,6.6,20514,18.71,26
704,Ice Age: Collision Course,2016,94,5.7,34523,64.06,34
703,The Devil Wears Prada,2006,109,6.8,302268,124.73,62
702,The Infiltrator,2016,127,7.1,43929,15.43,66
701,There Will Be Blood,2007,158,8.1,400682,40.22,92
700,The Equalizer,2014,132,7.2,249425,101.53,57
699,Lone Survivor,2013,121,7.5,218996,125.07,60
698,The Cabin in the Woods,2012,95,7,295554,42.04,72
697,The House Bunny,2008,97,5.5,67033,48.24,55
696,She's Out of My League,2010,104,6.4,105619,31.58,46
695,Inherent Vice,2014,148,6.7,69509,8.09,81
694,Alice Through the Looking Glass,2016,113,6.2,57207,77.04,34
693,Vincent N Roxxy,2016,110,5.5,403,,
692,The Fast and the Furious: Tokyo Drift,2006,104,6,193479,62.49,45
691,How to Be Single,2016,110,6.1,59886,46.81,51
690,The Blind Side,2009,129,7.7,237221,255.95,53
689,La vie d'Adèle,2013,180,7.8,103150,2.2,88
688,The Babadook,2014,93,6.8,132580,0.92,86
687,The Hobbit: The Battle of the Five Armies,2014,144,7.4,385598,255.11,59
686,Harry Potter and the Order of the Phoenix,2007,138,7.5,385325,292,71
685,Snowpiercer,2013,126,7,199048,4.56,84
684,The 5th Wave,2016,112,5.2,73093,34.91,33
683,The Stakelander,2016,81,5.3,1263,,
682,The Visit,2015,94,6.2,81429,65.07,55
681,Fast Five,2011,131,7.3,300803,209.81,66
680,Step Up,2006,104,6.5,95960,65.27,48
679,Lovesong,2016,84,6.4,616,0.01,74
678,RocknRolla,2008,114,7.3,203096,5.69,53
677,In Time,2011,109,6.7,319025,37.55,53
676,The Social Network,2010,120,7.7,510100,96.92,95
675,The Last Witch Hunter,2015,106,6,71149,27.36,34
674,Victor Frankenstein,2015,110,6,37975,5.77,36
673,A Street Cat Named Bob,2016,103,7.4,12643,0.04,54
672,Green Room,2015,95,7,62885,3.22,79
671,Blackhat,2015,133,5.4,43085,7.1,51
670,Storks,2016,87,6.9,34248,72.66,56
669,American Sniper,2014,133,7.3,353305,350.12,72
668,Dallas Buyers Club,2013,117,8,352801,27.3,84
667,Lincoln,2012,150,7.4,207497,182.2,86
666,Rush,2013,123,8.1,339722,26.9,75
665,Before I Wake,2016,97,6.1,18201,,
664,Silver Linings Playbook,2012,122,7.8,564364,132.09,81
663,Tracktown,2016,88,5.9,115,,64
662,The Fault in Our Stars,2014,126,7.8,271301,124.87,69
661,Blended,2014,117,6.5,93764,46.28,31
660,Fast & Furious,2009,107,6.6,217464,155.02,46
659,Looper,2012,119,7.4,452369,66.47,84
658,White House Down,2013,131,6.4,173320,73.1,52
657,Pete's Dragon,2016,102,6.8,36322,76.2,71
656,Spider-Man 3,2007,139,6.2,406219,336.53,59
655,The Three Musketeers,2011,110,5.8,92329,20.32,35
654,Stardust,2007,127,7.7,220664,38.35,66
653,American Hustle,2013,138,7.3,379088,150.12,90
652,Jennifer's Body,2009,102,5.1,96617,16.2,47
651,Midnight in Paris,2011,94,7.7,320323,56.82,81
650,Lady Macbeth,2016,89,7.3,1396,,83
649,Joy,2015,124,6.6,97679,56.44,56
648,The Dressmaker,2015,119,7.1,33352,2.02,47
647,Café Society,2016,96,6.7,45579,11.08,64
646,Insurgent,2015,119,6.3,171970,130,42
645,Seventh Son,2014,102,5.5,59958,17.18,30
644,Demain tout commence,2016,118,7.4,5496,,
643,The Theory of Everything,2014,123,7.7,299718,35.89,72
642,This Is the End,2013,107,6.6,327838,101.47,67
641,About Time,2013,123,7.8,221600,15.29,55
640,Step Brothers,2008,98,6.9,223065,100.47,51
639,Clown,2014,100,5.7,14248,0.05,42
638,Star Trek Into Darkness,2013,132,7.8,417663,228.76,72
637,Zombieland,2009,88,7.7,409403,75.59,73
636,"Hail, Caesar!",2016,106,6.3,89059,30,72
635,Slumdog Millionaire,2008,120,8,677044,141.32,86
634,The Twilight Saga: Breaking Dawn - Part 2,2012,115,5.5,194329,292.3,52
633,American Wrestler: The Wizard,2016,117,6.9,286,,
632,The Amazing Spider-Man,2012,136,7,474320,262.03,66
631,Ben-Hur,2016,123,5.7,28326,26.38,38
630,Sleight,2016,89,6,702,3.85,62
629,The Maze Runner,2014,113,6.8,335531,102.41,57
628,Criminal,2016,113,6.3,38430,14.27,36
627,Wanted,2008,110,6.7,312495,134.57,64
626,Florence Foster Jenkins,2016,111,6.9,31776,27.37,71
625,Collide,2016,99,5.7,7583,2.2,33
624,Black Mass,2015,123,6.9,135706,62.56,68
623,Creed,2015,133,7.6,175673,109.71,82
622,Swiss Army Man,2016,97,7.1,61812,4.21,64
621,The Expendables 3,2014,126,6.1,137568,39.29,35
620,What We Do in the Shadows,2014,86,7.6,84016,3.33,76
619,Southpaw,2015,124,7.4,169083,52.42,57
618,Hush,2016,81,6.6,45867,,67
617,Bridge of Spies,2015,142,7.6,217938,72.31,81
616,The Lego Movie,2014,100,7.8,266508,257.76,83
615,Everest,2015,121,7.1,154647,43.25,64
614,Pixels,2015,105,5.6,101092,78.75,27
613,Robin Hood,2010,140,6.7,221117,105.22,53
612,The Wolverine,2013,126,6.7,355362,132.55,60
611,John Carter,2012,132,6.6,220667,73.06,51
610,Keanu,2016,100,6.3,31913,20.57,63
609,The Gunman,2015,115,5.8,31194,10.64,39
608,Steve Jobs,2015,122,7.2,116112,17.75,82
607,Whisky Galore,2016,98,5,102,,43
606,Grown Ups 2,2013,101,5.4,114482,133.67,19
605,The Age of Adaline,2015,112,7.2,112288,42.48,51
604,The Incredible Hulk,2008,112,6.8,342355,134.52,61
603,Couples Retreat,2009,113,5.5,86417,109.18,23
602,Absolutely Anything,2015,85,6,26587,,31
601,Magic Mike,2012,110,6.1,113686,113.71,72
600,Minions,2015,91,6.4,159830,336.03,56
599,The Black Room,2016,91,3.9,240,,71
598,Bronson,2008,92,7.1,93972,0.1,
597,Despicable Me,2010,95,7.7,410607,251.5,72
596,The Best of Me,2014,118,6.7,49041,26.76,29
595,The Invitation,2015,100,6.7,40529,0.23,74
594,Zero Dark Thirty,2012,157,7.4,226661,95.72,95
593,Tangled,2010,100,7.8,316459,200.81,71
592,The Hunger Games: Mockingjay - Part 2,2015,137,6.6,202380,281.67,65
591,Vacation,2015,99,6.1,74589,58.88,34
590,Taken,2008,93,7.8,502961,145,50
589,Pitch Perfect 2,2015,115,6.5,108306,183.44,63
588,Monsters University,2013,104,7.3,252119,268.49,65
587,Elle,2016,130,7.2,35417,,89
586,Mechanic: Resurrection,2016,98,5.6,48161,21.2,38
585,Tusk,2014,102,5.4,34546,1.82,55
584,The Headhunter's Calling,2016,108,6.9,164,,85
583,Atonement,2007,123,7.8,202890,50.92,
582,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,357213,294.98,65
581,Shame,2011,101,7.2,155010,4,72
580,Hanna,2011,111,6.8,164208,40.25,65
579,The Babysitters,2007,88,5.7,8914,0.04,35
578,Pride and Prejudice and Zombies,2016,108,5.8,35003,10.91,45
577,300: Rise of an Empire,2014,102,6.2,237887,106.37,48
576,London Has Fallen,2016,99,5.9,100702,62.4,28
575,The Curious Case of Benjamin Button,2008,166,7.8,485075,127.49,70
574,Sin City: A Dame to Kill For,2014,102,6.5,122185,13.75,46
573,The Bourne Ultimatum,2007,115,8.1,525700,227.14,85
572,Srpski film,2010,104,5.2,43648,,55
571,The Purge: Election Year,2016,109,6,54216,79,
570,3 Idiots,2009,170,8.4,238789,6.52,67
569,Zoolander 2,2016,102,4.7,48297,28.84,34
568,World War Z,2013,116,7,494819,202.35,63
567,Mission: Impossible - Ghost Protocol,2011,132,7.4,382459,209.36,73
566,Let Me Make You a Martyr,2016,102,6.4,223,,56
565,Filth,2013,97,7.1,81301,0.03,
564,The Longest Ride,2015,123,7.1,58421,37.43,33
563,The imposible,2012,114,7.6,156189,19,73
562,Kick-Ass 2,2013,103,6.6,214825,28.75,41
561,Folk Hero & Funny Guy,2016,88,5.6,220,,63
560,Oz the Great and Powerful,2013,130,6.3,181521,234.9,44
559,Brooklyn,2015,117,7.5,94977,38.32,87
558,Coraline,2009,100,7.7,156620,75.28,80
557,Blue Valentine,2010,112,7.4,151409,9.7,81
556,The Thinning,2016,81,6,4531,,31
555,Silent Hill,2006,125,6.6,184152,46.98,
554,Dredd,2012,95,7.1,213764,13.4,59
553,Hunt for the Wilderpeople,2016,101,7.9,52331,5.2,81
552,Big Hero 6,2014,102,7.8,309186,222.49,74
551,Carrie,2013,100,5.9,113272,35.27,53
550,Iron Man 2,2010,124,7,556666,312.06,57
549,Demolition,2015,101,7,58720,1.82,49
548,Pandorum,2009,108,6.8,126656,10.33,28
547,Olympus Has Fallen,2013,119,6.5,214994,98.9,41
546,I Am Number Four,2011,109,6.1,202682,55.09,36
545,Jagten,2012,115,8.3,192263,0.61,76
544,The Proposal,2009,108,6.7,241709,163.95,48
543,Get Hard,2015,100,6,95119,90.35,34
542,Just Go with It,2011,117,6.4,182069,103.03,33
541,Revolutionary Road,2008,119,7.3,159736,22.88,69
540,The Town,2010,125,7.6,294553,92.17,74
539,The Boy,2016,97,6,51235,35.79,42
538,Denial,2016,109,6.6,8229,4.07,63
537,Predestination,2014,97,7.5,187760,,69
536,Goosebumps,2015,103,6.3,57602,80.02,60
535,Sherlock Holmes: A Game of Shadows,2011,129,7.5,357436,186.83,48
534,Salt,2010,100,6.4,255813,118.31,65
533,Enemy,2013,91,6.9,111558,1.01,61
532,District 9,2009,112,8,556794,115.65,81
531,The Other Guys,2010,107,6.7,199900,119.22,64
530,American Gangster,2007,157,7.8,337835,130.13,76
529,Marie Antoinette,2006,123,6.4,83941,15.96,65
528,2012,2009,158,5.8,297984,166.11,49
527,Harry Potter and the Half-Blood Prince,2009,153,7.5,351059,301.96,78
526,Argo,2012,120,7.7,481274,136.02,86
525,Eddie the Eagle,2016,106,7.4,56332,15.79,54
524,The Lives of Others,2006,137,8.5,278103,11.28,89
523,Pet,2016,94,5.7,8404,,48
522,Paint It Black,2016,96,8.3,61,,71
521,Macbeth,2015,113,6.7,41642,,71
520,Forgetting Sarah Marshall,2008,111,7.2,226619,62.88,67
519,The Giver,2014,97,6.5,93799,45.09,47
518,Triple 9,2016,115,6.3,48400,12.63,52
517,Perfetti sconosciuti,2016,97,7.7,17584,,43
516,Angry Birds,2016,97,6.3,55781,107.51,
515,Moonrise Kingdom,2012,94,7.8,254446,45.51,84
514,Hairspray,2007,117,6.7,102954,118.82,81
513,Safe Haven,2013,115,6.7,84765,71.35,34
512,Focus,2015,105,6.6,166489,53.85,56
511,Ratatouille,2007,111,8,504039,206.44,96
510,Stake Land,2010,98,6.5,36091,0.02,66
509,The Book of Eli,2010,118,6.9,241359,94.82,53
508,Cloverfield,2008,85,7,313803,80.03,64
507,Point Break,2015,114,5.3,44553,28.77,34
506,Under the Skin,2013,108,6.3,94707,2.61,78
505,I Am Legend,2007,101,7.2,565721,256.39,65
504,Men in Black 3,2012,106,6.8,278379,179.02,58
503,Super 8,2011,112,7.1,298913,126.98,72
502,Law Abiding Citizen,2009,109,7.4,228339,73.34,34
501,Up,2009,96,8.3,722203,292.98,88
500,Maze Runner: The Scorch Trials,2015,131,6.3,159364,81.69,43
499,Carol,2015,118,7.2,77995,0.25,95
498,Imperium,2016,109,6.5,27428,,68
497,Youth,2015,124,7.3,52636,2.7,64
496,Mr. Nobody,2009,141,7.9,166872,,63
495,City of Tiny Lights,2016,110,5.7,291,,54
